                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.758,                 3.6167,                 2.3797,                0.02032,                0.47744,                0.06249,                0.01402,                 2.2276,                 3.2882,                 1.9299,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 2.5533,                 3.5566,                 2.2938,                0.01966,                0.46429,                0.04796,                0.01102,                 2.2302,                 3.2719,                 1.9385,             0.00011091,             0.00011091,             0.00011091
                      3,                 2.4569,                 3.5158,                 2.1885,                 0.0254,                0.62406,                0.13037,                0.02903,                 2.1635,                 3.2325,                 1.8185,             0.00016522,             0.00016522,             0.00016522
                      4,                 2.3119,                 3.5246,                 2.0439,                0.02712,                0.67293,                 0.1504,                 0.0428,                 2.1648,                 3.1938,                  1.736,             0.00021292,             0.00021292,             0.00021292
                      5,                 2.0069,                 3.2547,                 1.7595,                0.02354,                0.58459,                 0.1807,                0.05759,                 2.1463,                 3.1334,                 1.6743,             0.00025402,             0.00025402,             0.00025402
                      6,                 1.8883,                 2.9917,                  1.561,                0.02388,                0.56203,                0.22586,                0.07296,                 2.0985,                 3.0475,                 1.5821,             0.00028852,             0.00028852,             0.00028852
                      7,                 1.8074,                 2.7602,                 1.5059,                0.02388,                0.56203,                0.22586,                0.07296,                 2.0985,                 3.0475,                 1.5821,             0.00031641,             0.00031641,             0.00031641
                      8,                  1.924,                 2.4426,                 1.5837,                0.03077,                0.69925,                0.38725,                0.14457,                 1.8433,                 2.8796,                 1.3827,             0.00033771,             0.00033771,             0.00033771
                      9,                 1.6476,                 2.3415,                 1.4338,                 0.7442,                0.28947,                0.44035,                0.20486,                 1.6662,                 2.6879,                 1.2927,              0.0003524,              0.0003524,              0.0003524
                     10,                 1.8296,                 2.2752,                 1.4922,                 0.7442,                0.28947,                0.44035,                0.20486,                 1.6662,                 2.6879,                 1.2927,              0.0003605,              0.0003605,              0.0003605
                     11,                 1.6728,                 1.8998,                 1.4136,                0.84418,                0.27632,                0.44662,                0.23037,                 1.5153,                  2.446,                  1.249,             0.00036199,             0.00036199,             0.00036199
                     12,                 1.4952,                  1.833,                  1.327,                0.84418,                0.27632,                0.44662,                0.23037,                 1.5153,                  2.446,                  1.249,             0.00035688,             0.00035688,             0.00035688
                     13,                 1.6534,                 1.7539,                 1.3906,                0.85631,                0.28947,                0.47751,                0.27506,                 1.4615,                 2.2205,                 1.2353,             0.00034517,             0.00034517,             0.00034517
                     14,                 1.5933,                 1.7372,                 1.3841,                0.85631,                0.28947,                0.47751,                0.27506,                 1.4615,                 2.2205,                 1.2353,             0.00032686,             0.00032686,             0.00032686
                     15,                 1.6087,                 1.7662,                 1.4147,                0.82598,                0.39474,                0.47456,                0.27267,                  1.469,                 1.9908,                 1.2428,             0.00030194,             0.00030194,             0.00030194
                     16,                 1.6621,                 1.6629,                 1.4329,                0.82598,                0.39474,                0.47456,                0.27267,                  1.469,                 1.9908,                 1.2428,             0.00027043,             0.00027043,             0.00027043
                     17,                 1.5278,                 1.6505,                 1.3686,                0.82598,                0.39474,                0.47456,                0.27267,                  1.469,                 1.9908,                 1.2428,             0.00023231,             0.00023231,             0.00023231
                     18,                 1.4903,                 1.5815,                 1.3358,                0.73707,                0.48308,                0.48532,                0.29087,                 1.4786,                 1.8534,                 1.2624,              0.0001876,              0.0001876,              0.0001876
                     19,                 1.4774,                 1.5309,                 1.3053,                0.73707,                0.48308,                0.48532,                0.29087,                 1.4786,                 1.8534,                 1.2624,             0.00013628,             0.00013628,             0.00013628
                     20,                 1.5307,                 1.5149,                 1.3589,                0.73707,                0.48308,                0.48532,                0.29087,                 1.4786,                 1.8534,                 1.2624,             7.8357e-05,             7.8357e-05,             7.8357e-05
