                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1057,                 7.5813,                 1.7874,                0.04097,                0.89959,                0.25901,                0.10039,                 1.3724,                 5.3541,                 1.1711,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.4998,                 4.4768,                 1.2127,                0.33022,                0.25776,                 0.2004,                 0.1007,                 1.4836,                 5.9237,                 1.4259,             0.00051165,             0.00051165,             0.00051165
                      3,                 1.4321,                 2.7765,                  1.229,                  0.481,                0.22668,                0.21694,                0.10088,                 1.9022,                 5.9352,                 1.8703,             0.00076798,             0.00076798,             0.00076798
                      4,                 1.3897,                 2.4478,                 1.2559,                0.46111,                 0.6303,                0.43991,                0.24975,                 1.3729,                  2.892,                 1.1848,               0.001019,               0.001019,               0.001019
                      5,                 1.3139,                 2.3542,                  1.201,                0.48072,                0.59765,                0.44381,                0.27201,                 1.2852,                 3.0217,                 1.1709,              0.0012648,              0.0012648,              0.0012648
                      6,                 1.2895,                 2.1897,                 1.1901,                0.41161,                0.72119,                0.47629,                0.29155,                 1.3166,                 2.4069,                 1.1693,              0.0015053,              0.0015053,              0.0015053
                      7,                 1.2903,                 2.1374,                 1.2076,                0.48263,                0.60369,                0.45109,                0.28398,                 1.3046,                 2.8773,                 1.2007,               0.001568,               0.001568,               0.001568
                      8,                 1.2416,                 2.1072,                 1.1856,                 0.4562,                0.84317,                0.50091,                0.31201,                 1.3219,                 2.3527,                 1.2319,               0.001568,               0.001568,               0.001568
                      9,                 1.2193,                 1.9183,                 1.1509,                0.53149,                0.56712,                0.55009,                0.32345,                 1.2444,                 1.9901,                 1.2216,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.2321,                  1.944,                 1.1648,                0.52853,                0.69234,                0.53652,                0.33364,                 1.2613,                  1.894,                 1.1998,               0.001535,               0.001535,               0.001535
                     11,                  1.219,                 1.7507,                 1.1517,                0.47929,                0.65651,                0.52156,                0.33725,                 1.2527,                  2.449,                 1.1736,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.1709,                 1.7665,                 1.1478,                0.53128,                0.64981,                0.59108,                 0.3832,                 1.2123,                 1.9449,                 1.1812,               0.001502,               0.001502,               0.001502
                     13,                 1.1792,                 1.6898,                 1.1632,                0.60859,                 0.6287,                0.61263,                0.39638,                  1.246,                 1.8626,                 1.2158,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.1473,                 1.6706,                 1.1708,                0.54462,                0.69634,                0.58498,                0.38531,                 1.2144,                 1.9195,                 1.2398,               0.001469,               0.001469,               0.001469
                     15,                 1.2263,                  1.778,                 1.1937,                0.48997,                0.73999,                0.53584,                0.34812,                 1.2281,                 2.1622,                 1.2507,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.1697,                 1.6748,                 1.1411,                0.54745,                0.58576,                0.53252,                0.34627,                 1.2731,                 2.1244,                 1.2786,               0.001436,               0.001436,               0.001436
                     17,                  1.146,                 1.4872,                 1.1417,                0.44301,                0.89781,                0.51698,                 0.3276,                 1.2445,                 2.5318,                 1.2631,              0.0014195,              0.0014195,              0.0014195
                     18,                  1.148,                 1.6223,                 1.1606,                0.55047,                0.72055,                0.60878,                0.41328,                 1.1661,                 1.7813,                 1.1951,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1488,                 1.5558,                 1.1457,                0.51075,                0.76715,                0.60529,                0.40151,                 1.1996,                 1.8701,                    1.2,              0.0013864,              0.0013864,              0.0013864
                     20,                   1.11,                 1.4512,                 1.1137,                0.48144,                 0.7745,                0.56636,                 0.3772,                 1.1736,                 2.2931,                 1.1974,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1091,                 1.4635,                 1.1353,                0.54921,                0.60643,                0.58033,                0.38802,                 1.1726,                 1.7963,                 1.2058,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.1156,                 1.4282,                 1.1423,                0.56358,                0.63184,                0.57844,                0.38168,                 1.1842,                 1.8232,                  1.205,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.0897,                   1.42,                 1.1203,                0.46792,                0.80291,                0.58324,                0.38286,                 1.1658,                 1.9635,                 1.1877,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.1179,                 1.3936,                 1.1145,                0.56486,                0.66259,                 0.5902,                0.37607,                 1.1682,                 1.6575,                 1.1746,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.1222,                 1.3551,                 1.1391,                 0.6458,                0.56981,                0.61302,                 0.4164,                 1.1474,                  1.737,                 1.1556,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.1081,                 1.4449,                 1.1548,                0.58674,                0.58627,                0.61467,                0.41814,                 1.1633,                 1.6989,                 1.1822,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.0806,                 1.3102,                 1.1302,                0.56996,                0.65451,                0.60256,                0.40074,                 1.1242,                 1.7163,                 1.1788,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.0814,                 1.3695,                 1.1245,                0.51169,                0.77009,                0.61165,                0.40998,                 1.1024,                 1.7928,                 1.1692,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.1252,                 1.4384,                 1.1389,                0.53223,                0.76059,                0.60371,                0.40462,                 1.1364,                 1.7259,                 1.1795,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.0687,                 1.3347,                 1.0991,                 0.5585,                0.77901,                0.61195,                0.41303,                 1.1377,                 1.5538,                 1.1775,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.0584,                 1.2661,                 1.1153,                0.48758,                0.82781,                0.54401,                 0.3505,                 1.1174,                 1.9615,                 1.1907,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.0476,                 1.2485,                 1.1045,                0.49249,                0.81713,                0.57784,                 0.3712,                 1.1329,                 1.8816,                 1.2146,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.065,                 1.3466,                 1.1107,                0.59415,                0.66045,                0.61197,                0.40394,                 1.1263,                 1.6272,                 1.1933,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.0536,                 1.1851,                 1.0893,                0.57291,                 0.7294,                0.59087,                0.38358,                 1.1145,                 1.6531,                 1.1958,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.0968,                 1.2807,                 1.1445,                0.50764,                0.73948,                0.57107,                0.37742,                 1.1074,                 1.7398,                 1.1989,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1084,                  1.329,                 1.1421,                0.49822,                0.76328,                0.61168,                0.40646,                 1.1629,                 1.8606,                 1.2006,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.1441,                 1.3185,                 1.1495,                0.52338,                 0.7326,                0.61051,                0.39458,                 1.1408,                  1.748,                 1.1927,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0706,                 1.2575,                 1.1204,                0.55184,                0.73966,                0.59957,                0.40484,                 1.1436,                 1.6372,                 1.1793,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.0458,                 1.2593,                 1.0967,                0.55839,                0.70721,                0.61762,                0.41324,                 1.1351,                 1.6871,                 1.1778,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.0407,                 1.2173,                 1.1009,                0.54405,                0.68927,                0.60686,                0.41094,                 1.1252,                 1.7477,                  1.175,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0452,                  1.206,                 1.0979,                0.54854,                0.70537,                0.60579,                0.41047,                 1.1245,                 1.7224,                 1.1711,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.0432,                 1.2133,                 1.1078,                0.57085,                0.74983,                0.64286,                0.44183,                 1.1164,                 1.6106,                 1.1629,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.0469,                  1.174,                 1.1006,                0.53161,                0.77302,                0.61856,                0.42277,                 1.1187,                 1.7471,                 1.1671,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.027,                 1.1634,                 1.0934,                0.57158,                 0.6614,                0.62974,                0.41768,                 1.1298,                 1.6348,                 1.1769,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0345,                 1.1884,                 1.1024,                0.57487,                0.73251,                0.63239,                0.42062,                  1.115,                 1.6138,                 1.1759,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0683,                 1.0884,                 1.1219,                0.58125,                0.75789,                0.63958,                 0.4263,                 1.1206,                 1.5101,                 1.1734,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.0234,                  1.144,                 1.0907,                0.61061,                0.73494,                0.65439,                0.44786,                  1.118,                 1.4629,                 1.1645,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0434,                 1.1213,                 1.1094,                0.58988,                0.78412,                 0.6624,                0.46086,                 1.1347,                 1.5413,                 1.1753,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.0268,                 1.1275,                 1.1292,                0.59617,                0.72055,                0.62427,                0.42838,                 1.0758,                 1.5883,                 1.1644,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.0345,                 1.0873,                 1.1038,                0.62597,                0.70031,                0.62874,                0.42072,                 1.0858,                 1.5999,                 1.1763,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.0187,                 1.0449,                 1.1081,                 0.6315,                0.73118,                0.63432,                0.42921,                 1.1004,                 1.6483,                 1.1811,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.0006,                 1.0752,                 1.0866,                0.62405,                0.70411,                0.63292,                0.42435,                 1.1243,                 1.7673,                 1.1789,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.0042,                 1.0115,                 1.0817,                0.62556,                0.67274,                0.64623,                0.44291,                 1.0888,                 1.7681,                 1.1561,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.0245,                 1.0777,                 1.0986,                0.59131,                0.68587,                0.64951,                0.44259,                 1.0989,                 1.6879,                 1.1627,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.0085,                  1.068,                 1.0795,                 0.5413,                 0.7059,                 0.6473,                0.44763,                 1.0911,                 1.7171,                 1.1643,             0.00079233,             0.00079233,             0.00079233
                     56,                0.97943,                 1.0314,                 1.0637,                0.57495,                0.69301,                0.64752,                0.44874,                 1.0912,                 1.5946,                 1.1598,             0.00077582,             0.00077582,             0.00077582
                     57,                0.97979,                 1.0178,                 1.0777,                0.55831,                0.77561,                0.63533,                0.43424,                 1.0838,                 1.5157,                 1.1563,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.0043,                 1.0093,                 1.0782,                0.54658,                0.80642,                0.64602,                0.43594,                  1.083,                 1.5167,                 1.1586,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.0328,                 1.0285,                 1.0903,                0.59417,                0.73309,                0.65468,                0.44223,                  1.116,                 1.5029,                 1.1699,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.0135,                 1.0305,                 1.0975,                0.60032,                0.74716,                0.66278,                 0.4435,                 1.1158,                 1.4812,                 1.1736,             0.00070981,             0.00070981,             0.00070981
                     61,                  1.008,                 1.0016,                 1.0909,                 0.5824,                0.73999,                0.64986,                0.44061,                 1.1047,                 1.4603,                 1.1705,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.0155,                 1.0212,                 1.0883,                0.58808,                 0.7229,                0.63133,                0.41803,                 1.0977,                 1.4877,                 1.1634,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.0048,                 1.0086,                 1.0819,                0.56875,                0.75109,                0.63955,                0.43202,                   1.08,                 1.4816,                 1.1527,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.0173,                 1.0265,                 1.0841,                0.59043,                0.73848,                0.63639,                0.43553,                 1.0991,                 1.4413,                 1.1614,              0.0006438,              0.0006438,              0.0006438
