                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1032,                 7.3132,                 1.7861,                0.04286,                 0.9617,                 0.2609,                0.09292,                 1.3582,                 5.2509,                 1.1764,             0.00025005,             0.00025005,             0.00025005
                      2,                 1.5038,                  4.345,                  1.216,                0.50181,                0.22135,                0.29194,                0.14938,                  1.455,                 4.9349,                  1.253,             0.00050654,             0.00050654,             0.00050654
                      3,                  1.412,                 2.7508,                 1.2139,                0.49141,                0.46478,                0.31098,                0.15727,                 1.6633,                  4.653,                 1.4423,             0.00075246,             0.00075246,             0.00075246
                      4,                 1.3726,                 2.3668,                 1.2347,                 0.4427,                0.70198,                0.48821,                0.25112,                 1.5276,                 2.6304,                 1.2956,             0.00098783,             0.00098783,             0.00098783
                      5,                 1.3181,                 2.2668,                 1.2019,                0.44039,                0.68843,                0.48626,                 0.2914,                 1.3465,                 2.6179,                 1.1811,              0.0012126,              0.0012126,              0.0012126
                      6,                 1.2807,                 2.1535,                 1.1746,                0.49251,                0.54878,                0.47804,                 0.3005,                 1.2711,                 2.2288,                 1.1809,              0.0014269,              0.0014269,              0.0014269
                      7,                 1.2894,                 2.0838,                 1.2005,                 0.4514,                0.69255,                 0.4664,                0.29612,                 1.2717,                 2.2824,                 1.2008,               0.001469,               0.001469,               0.001469
                      8,                 1.2107,                 2.0654,                 1.1615,                0.44507,                0.77595,                0.48845,                0.30248,                  1.299,                 2.3902,                 1.2351,               0.001469,               0.001469,               0.001469
                      9,                 1.1954,                 1.8363,                 1.1305,                0.46186,                0.75525,                0.55583,                 0.3373,                 1.2257,                 1.9806,                 1.1949,               0.001436,               0.001436,               0.001436
                     10,                 1.2119,                 1.9083,                 1.1488,                0.44872,                0.79149,                0.54377,                0.34249,                 1.2093,                 2.2323,                 1.1787,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.2215,                 1.7697,                 1.1476,                0.50423,                0.73948,                 0.5714,                  0.373,                 1.2135,                 2.0081,                 1.1727,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.1679,                 1.7269,                 1.1515,                0.60552,                 0.5735,                0.59921,                0.39774,                 1.1642,                 1.7518,                 1.1788,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.1764,                 1.6627,                 1.1659,                0.57754,                0.73221,                0.61715,                0.40182,                 1.1937,                 1.7618,                  1.208,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.1402,                 1.6549,                 1.1645,                0.55604,                0.69531,                0.62705,                0.41117,                 1.2046,                 1.8262,                 1.2409,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.1868,                 1.7715,                 1.1732,                0.48306,                0.84645,                0.59067,                0.38888,                 1.2027,                 2.2825,                 1.2328,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.1446,                 1.6205,                 1.1234,                0.57118,                0.65456,                0.59622,                0.39374,                 1.1989,                 1.6582,                 1.2228,              0.0012049,              0.0012049,              0.0012049
